City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
52,Bluff,-46.6,168.33,55.0,87,68,4.0,NZ,2020-02-23 15:38:28,broken clouds,0.0,0.0
53,Kushiro,42.98,144.37,29.57,71,0,11.21,JP,2020-02-23 15:38:28,clear sky,0.0,0.0
54,Hermanus,-34.42,19.23,82.99,59,0,13.0,ZA,2020-02-23 15:38:28,clear sky,0.0,0.0
55,Lasa,46.62,10.7,59.0,71,40,5.82,IT,2020-02-23 15:38:28,scattered clouds,0.0,0.0
56,Yellowknife,62.46,-114.35,-9.0,76,90,9.17,CA,2020-02-23 15:38:29,light snow,0.0,0.0
57,Bredasdorp,-34.53,20.04,73.99,40,0,20.8,ZA,2020-02-23 15:38:29,clear sky,0.0,0.0
58,Georgetown,5.41,100.34,82.4,69,20,8.05,MY,2020-02-23 15:37:55,few clouds,0.0,0.0
59,Carnarvon,-24.87,113.63,77.0,83,40,10.29,AU,2020-02-23 15:38:29,scattered clouds,0.0,0.0
60,Havre-Saint-Pierre,50.23,-63.6,32.0,86,40,10.29,CA,2020-02-23 15:38:29,scattered clouds,0.0,0.0
61,Busselton,-33.65,115.33,70.0,37,86,17.81,AU,2020-02-23 15:38:30,light rain,0.5,0.0
62,Souillac,-20.52,57.52,80.6,83,75,6.35,MU,2020-02-23 15:38:30,shower rain,0.0,0.0
63,Tazovskiy,67.47,78.7,28.94,90,100,17.56,RU,2020-02-23 15:38:30,overcast clouds,0.0,0.0
64,Verkhnevilyuysk,63.45,120.32,-6.63,99,78,3.31,RU,2020-02-23 15:38:30,broken clouds,0.0,0.0
65,Flinders,-34.58,150.86,70.0,82,100,4.7,AU,2020-02-23 15:38:30,overcast clouds,0.0,0.0
66,Ponta Do Sol,32.67,-17.1,69.8,56,20,19.46,PT,2020-02-23 15:38:31,few clouds,0.0,0.0
67,Lavrentiya,65.58,-171.0,-9.96,83,33,5.32,RU,2020-02-23 15:38:31,scattered clouds,0.0,0.0
68,Mataura,-46.19,168.86,55.0,87,95,4.0,NZ,2020-02-23 15:38:31,overcast clouds,0.0,0.0
69,Kishtwar,33.32,75.77,15.62,66,17,9.01,IN,2020-02-23 15:38:31,few clouds,0.0,0.0
70,Vaini,-21.2,-175.2,78.8,94,20,9.17,TO,2020-02-23 15:38:32,few clouds,0.0,0.0
71,Cape Town,-33.93,18.42,82.99,39,0,23.04,ZA,2020-02-23 15:34:41,clear sky,0.0,0.0
72,Touros,-5.2,-35.46,89.6,62,40,11.41,BR,2020-02-23 15:38:32,scattered clouds,0.0,0.0
73,Langham,52.37,-106.97,8.6,71,5,13.87,CA,2020-02-23 15:38:32,clear sky,0.0,0.0
