City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
259,Hibbing,US,35.6,clear sky,47.43,-92.94,Hibbing Park Hotel and Suites
260,Husavik,IS,26.78,clear sky,66.04,-17.34,Bjarnabúð
263,Victoria,HK,69.01,few clouds,22.29,114.16,Mini Hotel Central
264,Avera,US,52.0,clear sky,33.19,-82.53,
265,Zaysan,KZ,26.11,light snow,47.47,84.87,Gostinitsa Aray
266,Saint-Felicien,CA,34.0,broken clouds,48.65,-72.45,Hôtel du Jardin
269,Fort-Shevchenko,KZ,42.48,overcast clouds,44.51,50.26,Oasis hotel Bautino
270,Qui Nhon,VN,62.85,clear sky,13.77,109.23,Seagull Hotel
271,Penzance,GB,53.01,overcast clouds,50.12,-5.54,Artist Residence Penzance
273,Zhicheng,CN,57.99,scattered clouds,30.3,111.5,Wangjiang Building
274,Ribas Do Rio Pardo,BR,72.9,broken clouds,-20.44,-53.76,Ataíde Martins
275,Filadelfia,US,51.01,clear sky,39.95,-75.16,Loews Philadelphia Hotel
276,Camacha,PT,69.8,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
280,Manyana,BW,74.35,light rain,-23.4,21.72,
283,Ripon,GB,45.0,broken clouds,54.14,-1.52,The Ripon Spa Hotel
284,Coihaique,CL,68.0,few clouds,-45.58,-72.07,Diego De Almagro Coyhaique
285,East London,ZA,68.0,scattered clouds,-33.02,27.91,Tu Casa
287,Mawlaik,MM,67.51,clear sky,23.63,94.42,AKZ Guest House
288,Nikolskoye,RU,39.2,broken clouds,59.7,30.79,Tourist House - Sablino
289,Torrington,US,48.0,clear sky,41.8,-73.12,The Yankee Pedlar Inn
290,Kawalu,ID,72.93,light rain,-7.38,108.21,KOSAN UNGU UNSIK
292,Hohhot,CN,30.2,few clouds,40.81,111.65,Sheraton Hohhot Hotel
294,Greenwood,US,54.0,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
295,Nagato,JP,42.8,clear sky,34.38,131.2,いそう庵
297,Bernalillo,US,43.0,shower rain,35.05,-106.67,DoubleTree by Hilton Hotel Albuquerque
301,Chapais,CA,30.2,clear sky,49.78,-74.85,Hôtel Opémiska
302,Port Hardy,CA,39.2,shower rain,50.7,-127.42,Airport Inn
304,La Crosse,US,37.99,clear sky,43.8,-91.24,Holiday Inn & Suites la Crosse - Downtown
305,Vila,PT,73.0,clear sky,42.03,-8.16,Hotel Castrum Villae
307,Comodoro Rivadavia,AR,68.0,clear sky,-45.87,-67.5,Austral Hotel
308,Ancud,CL,60.8,broken clouds,-41.87,-73.82,HOTEL ANCUD DON LUCAS
309,Airai,TL,67.93,light rain,-8.93,125.41,Juvinal Martin
310,Uvarovo,RU,31.6,light snow,51.98,42.26,Elena Svetlova
312,Baoding,CN,42.78,clear sky,38.85,115.49,Xiu Lan Hotel
313,Nanortalik,GL,28.42,light snow,60.14,-45.24,"NTS Rooms, Nanortalik"
314,Saint-Francois,FR,64.99,overcast clouds,46.42,3.91,Manoir Du Bonheur
315,Mount Gambier,AU,55.4,overcast clouds,-37.83,140.77,Best Western Southgate Motel
316,Hamadan,IR,50.0,scattered clouds,34.8,48.51,Parsian BuAli Hotel
317,Celestun,MX,69.37,few clouds,20.87,-90.4,Posada Lilia
318,Back Mountain,US,45.0,clear sky,41.34,-76.0,Country Club Apartments
320,Santa Maria,BR,73.4,scattered clouds,-29.68,-53.81,Hotel Morotin
321,Shepsi,RU,44.69,overcast clouds,44.04,39.15,Otel' Chayka
322,Anupgarh,IN,71.13,clear sky,29.19,73.21,Setia Villa
323,Westport,US,50.0,clear sky,41.14,-73.36,The Westport Inn
325,Isangel,VU,71.6,few clouds,-19.55,169.27,Volcano Sea View Tree House
326,Saumur,FR,54.0,overcast clouds,47.33,-0.25,Hôtel la Longue Vue
328,Sungurlu,TR,33.1,broken clouds,40.17,34.37,Sungurlu Ogretmenevi
330,Myitkyina,MM,60.58,light rain,25.38,97.4,Shwe Phyu Hotel
331,Turayf,SA,62.6,overcast clouds,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
332,Fortuna,US,48.0,overcast clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
333,Tuatapere,NZ,55.0,broken clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
335,Two Rivers,US,37.4,clear sky,44.15,-87.57,Lighthouse Inn On Lake Michigan
336,Te Anau,NZ,47.98,scattered clouds,-45.42,167.72,Kingsgate Hotel Te Anau
337,Aktau,KZ,44.6,broken clouds,43.65,51.2,Silk Way Hotel
338,Bima,ID,73.06,overcast clouds,-8.47,118.72,Lambitu Hotel
340,Klaksvik,FO,35.6,light rain,62.23,-6.59,Airbnb rooms
344,San Carlos De Bariloche,AR,71.6,clear sky,-41.15,-71.31,Hotel Patagonia
346,Petropavlovskaya,RU,42.66,overcast clouds,45.08,40.45,
347,Sierra Vista,US,46.99,clear sky,31.55,-110.3,Sierra Vista Extended Stay Hotel
348,Gorontalo,ID,74.35,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
350,Vila Franca Do Campo,PT,62.6,few clouds,37.72,-25.43,Pestana Bahia Praia
351,Puqi,CN,59.11,scattered clouds,29.72,113.88,Ramada Plaza Chibi
353,Flin Flon,CA,26.6,broken clouds,54.77,-101.86,Victoria Inn Flin Flon
355,Semnan,IR,56.5,clear sky,35.57,53.4,Semnan Tourist Hotel
358,Vestmannaeyjar,IS,33.8,broken clouds,63.44,-20.27,Glamping & Camping
360,Ganzhou,CN,55.81,broken clouds,28.82,115.43,Gold Jiao Hotel
362,Huescar,ES,68.0,clear sky,37.81,-2.54,Hotel El Maño
363,Xingyi,CN,50.88,few clouds,24.19,102.82,
364,Jamsa,FI,37.0,light rain,61.86,25.19,Motel Patalahti
366,Prince Rupert,CA,35.6,overcast clouds,54.32,-130.32,Crest Hotel
367,Isla Vista,US,51.8,clear sky,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
370,Laguna,US,48.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
374,Harer,ET,70.75,broken clouds,9.31,42.13,Amir Cultural Harari Guesthouse
375,Mayo,US,52.0,clear sky,38.89,-76.51,Resorts Resource Group International
376,Khuzdar,PK,64.06,scattered clouds,27.74,66.64,JCO quarters
377,Pullman,US,41.0,scattered clouds,46.73,-117.18,Holiday Inn Express & Suites Pullman
378,Hami,CN,31.86,broken clouds,42.8,93.45,Laoyutang Resort
381,Hofn,IS,35.6,few clouds,64.25,-15.21,Hótel Höfn
388,Belmopan,BZ,71.6,scattered clouds,17.25,-88.77,Villa San Juan
393,Zhangye,CN,37.06,broken clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
396,Bardiyah,LY,55.45,light rain,31.76,25.09,بورتو بردية
400,Veraval,IN,73.18,clear sky,20.9,70.37,Lords Inn Somnath
403,Ishigaki,JP,68.7,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
405,Coahuayana,MX,73.4,few clouds,18.73,-103.68,Hotel Los Arcos
406,San Jose,US,51.8,broken clouds,37.34,-121.89,The Westin San Jose
411,Lohja,FI,39.2,shower rain,60.25,24.07,Koivula gård
413,Parry Sound,CA,37.0,overcast clouds,45.35,-80.03,Bayside Inn
414,Ostrovnoy,RU,31.8,light snow,68.05,39.51,
417,Northam,GB,53.6,scattered clouds,51.03,-4.22,Durrant House Hotel
419,Bykivka,UA,40.87,overcast clouds,50.29,27.98,
426,Jining,CN,50.86,clear sky,35.41,116.58,Yunhe Star Hotel
428,Malartic,CA,30.99,mist,48.13,-78.13,Camping Regional De Malartic
435,Namibe,AO,74.98,overcast clouds,-15.2,12.15,Chik-Chik Namibe
436,Ahipara,NZ,57.99,clear sky,-35.17,173.17,Ahipara Holiday Park
437,Buzmeyin,TM,55.4,broken clouds,38.05,58.21,
439,Guerrero Negro,MX,57.85,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
440,Nadym,RU,25.95,overcast clouds,65.53,72.52,Apartment on Zvereva
444,Carlyle,US,48.99,clear sky,38.61,-89.37,Centerstone Inn & Suites - Carlyle
447,Wuxue,CN,55.81,few clouds,29.85,115.55,Wuxue Station Hostel
449,Minab,IR,73.4,mist,27.15,57.08,فروشگاه موبایل ترکمانی
453,Nishihara,JP,62.6,few clouds,26.18,127.76,Minshuku Agaihama
454,Goderich,CA,39.0,broken clouds,43.75,-81.72,Harmony Inn
455,Tura,IN,69.69,clear sky,25.52,90.22,Hotel RIKMAN Continental
456,Kuryk,KZ,47.5,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
457,Halifax,CA,43.0,few clouds,44.65,-63.57,Hotel Halifax
458,Kraskino,RU,37.78,overcast clouds,42.71,130.78,"Gostinichnyy Kompleks ""Orion"""
463,Ballarat,AU,62.01,scattered clouds,-37.57,143.85,Quest Ballarat
465,Lagoa,PT,59.11,scattered clouds,39.05,-27.98,Casa Das Faias
467,Morbach,DE,55.99,light rain,49.82,7.12,Boardinghouse Morbach
468,Licheng,CN,73.99,broken clouds,23.3,113.83,Xincheng Tourism Industry
469,Margate,GB,54.0,light rain,51.38,1.39,Premier Inn Margate hotel
470,San Quintin,MX,56.23,clear sky,30.48,-115.95,Old Mill Hotel
471,Bonavista,CA,34.0,scattered clouds,48.65,-53.11,Abbott's Bed & Breakfast
472,Banavar,IN,73.81,broken clouds,13.41,76.17,Shree Durga Lodge
475,Bari,IT,61.0,overcast clouds,41.12,16.85,Mercure Villa Romanazzi Carducci Bari
476,La Paz,BO,55.4,scattered clouds,-16.5,-68.15,Ritz Apart Hotel
477,Matay,EG,62.76,overcast clouds,28.42,30.78,Nag Aespen
481,Beidao,CN,41.18,broken clouds,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
482,Concepcion Del Oro,MX,62.11,overcast clouds,24.63,-101.42,HOTEL HACIENDA SAN JAVIER
489,Portland,US,48.99,light rain,45.52,-122.68,Portland Marriott City Center
491,Chacabuco,AR,75.0,scattered clouds,-34.64,-60.47,Las Moras Multiespacio
492,Grants,US,33.8,overcast clouds,35.15,-107.85,Motel 6 Grants
493,Saint-Denis,FR,57.2,overcast clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
496,Brownwood,US,55.4,overcast clouds,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
497,Chatrapur,IN,71.13,clear sky,19.35,84.98,Circuit House
502,Kuusamo,FI,30.2,broken clouds,65.97,29.18,Hotel Kuusanka
504,Hit,IQ,66.15,scattered clouds,33.64,42.83,بيت اسماعبل محمد حمد
506,Tsiroanomandidy,MG,74.59,moderate rain,-18.77,46.03,
508,Bundaberg,AU,73.0,broken clouds,-24.85,152.35,Takalvan Motel
511,Kiunga,PG,74.88,moderate rain,-6.12,141.29,Airport Lodge Kiunga
512,Geraldton,AU,73.4,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
515,Never,FR,57.2,overcast clouds,46.99,3.16,Hôtel Kyriad
516,Colquechaca,BO,55.44,few clouds,-18.67,-66.02,
521,Safford,US,45.0,overcast clouds,32.83,-109.71,SpringHill Suites by Marriott Thatcher
522,Ajdabiya,LY,58.64,clear sky,30.76,20.23,فندق التوجان
523,Sabratah,LY,58.73,clear sky,32.79,12.49,مقبرة المجاهديه
524,Kaspiyskiy,RU,41.36,overcast clouds,45.39,47.37,"Gostinitsa ""Gostevoy Dvor"""
525,Boissevain,CA,30.2,clear sky,49.23,-100.06,Boissevain Campgrounds
530,Nabire,ID,73.87,moderate rain,-3.37,135.48,Hotel Nusantara Nabire
531,Asbe Teferi,ET,70.21,light rain,9.08,40.87,Bridge Hotel
534,Havelock,US,55.0,clear sky,34.88,-76.9,Holiday Inn Express and Suites Havelock
536,Rudraprayag,IN,40.57,light rain,30.28,78.98,OYO 66654 Hotel Devlok
538,Huautla,MX,62.71,clear sky,21.03,-98.28,Hotel Huautla
540,Melfi,IT,64.4,overcast clouds,41.0,15.65,HOTEL TERME DI RAPOLLA
541,Waitati,NZ,57.99,overcast clouds,-45.75,170.57,Arden Country House Dunedin
545,Batemans Bay,AU,68.0,overcast clouds,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
547,Touho,NC,70.47,light rain,-20.78,165.23,Auberge Timay Evasion
